employee_id,name,role,category,base_code,contract_type,hire_date,birth_date,is_active,monthly_hours,seniority_years
EMP00001,Empleado_1,Tripulante Cabina,Cabina,GRU,Indefinido,2013-12-13,1994-07-03,1,162,11
EMP00002,Empleado_2,Tripulante Cabina,Cabina,SCL,Plazo Fijo,2015-01-02,1998-09-02,1,176,9
EMP00003,Empleado_3,Piloto Comandante,Cockpit,SCL,Indefinido,2012-01-28,1981-09-15,1,187,12
EMP00004,Empleado_4,Ground Staff,Tierra,,Indefinido,2014-01-06,1982-09-16,,166,10
EMP00005,Empleado_5,Piloto Comandante,Cockpit,SCL,Plazo Fijo,2016-03-02,1970-07-09,,177,8
EMP00006,Empleado_6,Tripulante Cabina Senior,Cabina,lima,Plazo Fijo,2014-04-20,1996-05-23,1,163,10
EMP00007,Empleado_7,Tripulante Cabina,Cabina,EZE,Indefinido,2013-01-29,1974-08-24,1,163,11
EMP00008,Empleado_8,Tripulante Cabina,Cabina,LIM,Indefinido,2014-08-09,1989-08-20,1,172,10
EMP00009,Empleado_9,Ground Staff,Tierra,SCL,Indefinido,2021-11-08,1993-08-21,1,167,3
EMP00010,Empleado_10,Agente Check-in,Tierra,GRU,Plazo Fijo,2011-08-25,1973-09-27,1,161,13
EMP00011,Empleado_11,Supervisor Operaciones,Tierra,GRU,Indefinido,2015-07-02,1995-05-13,1,170,9
EMP00012,Empleado_12,Tripulante Cabina Senior,Cabina,GRU,Honorarios,2019-05-25,1977-06-22,1,168,5
EMP00013,Empleado_13,Tripulante Cabina,Cabina,MAD,Indefinido,2011-02-14,1991-07-10,0,175,13
EMP00014,Empleado_14,Tripulante Cabina,Cabina,GRU,Part-time,2023-01-28,1971-02-05,0,177,1
EMP00015,Empleado_15,Tripulante Cabina,Cabina,BOG,Indefinido,2014-04-25,1983-08-19,1,162,10
EMP00016,Empleado_16,Supervisor Operaciones,Tierra,EZE,Indefinido,2013-07-12,1980-02-22,1,164,11
EMP00017,Empleado_17,Ground Staff,Tierra,SCL,Indefinido,2016-08-19,1995-07-11,1,184,8
EMP00018,Empleado_18,Tripulante Cabina,Cabina,SCL,Plazo Fijo,2011-01-13,1999-08-18,0,185,13
EMP00019,Empleado_19,Tripulante Cabina Senior,Cabina,EZE,Indefinido,2016-12-16,1983-04-27,1,167,8
EMP00020,Empleado_20,Piloto Comandante,Cockpit,BOG,Indefinido,2020-03-05,1970-02-12,1,165,4
EMP00021,Empleado_21,Tripulante Cabina,Cabina,SCL,Plazo Fijo,2021-02-08,1973-04-12,1,175,3
EMP00022,Empleado_22,Piloto Copiloto,Cockpit,LIM,Part-time,2021-07-22,1971-03-02,1,160,3
EMP00023,Empleado_23,Piloto Comandante,Cockpit,LIM,Indefinido,2021-01-29,1990-04-02,1,172,3
EMP00024,Empleado_24,Administrativo,Admin,BOG,Part-time,2019-01-11,1997-06-24,1,162,5
EMP00025,Empleado_25,Tripulante Cabina Senior,Cabina,GRU,Honorarios,2013-07-02,1978-08-27,,187,11
EMP00026,Empleado_26,Agente Check-in,Tierra,MAD,Indefinido,2020-06-30,1989-12-26,1,168,4
EMP00027,Empleado_27,Tripulante Cabina,Cabina,LIM,Part-time,2021-01-08,1974-12-21,1,160,3
EMP00028,Empleado_28,Tripulante Cabina Senior,Cabina,MIA,Indefinido,2017-09-02,1994-05-08,1,179,7
EMP00029,Empleado_29,Tripulante Cabina Senior,Cabina,SCL,Indefinido,2024-11-17,1970-06-18,1,182,0
EMP00030,Empleado_30,Ground Staff,Tierra,GRU,Plazo Fijo,2023-08-12,1995-11-11,1,167,1
EMP00031,Empleado_31,Tecnico Mantencion,Tierra,SCL,Honorarios,2018-07-02,1991-06-19,1,186,6
EMP00032,Empleado_32,Tripulante Cabina Senior,Cabina,GRU,Part-time,2018-07-22,1972-05-27,1,,6
EMP00033,Empleado_33,Piloto Copiloto,Cockpit,BOG,Indefinido,2017-10-26,1990-09-14,,186,7
EMP00034,Empleado_34,Supervisor Operaciones,Tierra,BOG,Plazo Fijo,2020-07-30,1986-10-12,1,180,4
EMP00035,Empleado_35,Agente Check-in,Tierra,SCL,Honorarios,2018-10-23,1982-10-12,1,164,6
EMP00036,Empleado_36,Tripulante Cabina,Cabina,JFK,Plazo Fijo,2013-10-17,1989-08-25,1,176,11
EMP00037,Empleado_37,Tripulante Cabina Senior,Cabina,MIA,Indefinido,2020-07-03,1986-12-09,1,188,4
EMP00038,Empleado_38,Administrativo,Admin,MIA,Indefinido,2018-01-05,1987-05-07,1,184,6
EMP00039,Empleado_39,Tripulante Cabina Senior,Cabina,BOG,Indefinido,2012-01-27,1972-03-17,1,175,12
EMP00040,Empleado_40,Tripulante Cabina,Cabina,LIM,Indefinido,2012-05-26,1985-01-19,1,172,12
EMP00041,Empleado_41,Tripulante Cabina Senior,Cabina,LIM,Indefinido,2010-09-02,1995-03-23,1,174,14
EMP00042,Empleado_42,Ground Staff,Tierra,SCL,Plazo Fijo,2010-01-01,1972-06-07,1,161,14
EMP00043,Empleado_43,Tripulante Cabina,Cabina,SCL,Indefinido,2020-10-18,1992-12-07,0,187,4
EMP00044,Empleado_44,Tecnico Mantencion,Tierra,EZE,Indefinido,2021-02-18,1997-02-23,1,178,3
EMP00045,Empleado_45,Agente Check-in,Tierra,SCL,Indefinido,2014-01-18,1976-03-19,1,178,10
